"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2897000,5160000,10714000,15228000,16611000,20899000,22892000,23506000
"2",4828000,10707000,16907000,22840000,26211000,31970000,32216000,NA
"3",5455000,11941000,20733000,30928000,42395000,48377000,NA,NA
"4",8732000,18633000,32143000,57196000,61163000,NA,NA,NA
"5",11228000,19967000,50143000,73733000,NA,NA,NA,NA
"6",8706000,33459000,63477000,NA,NA,NA,NA,NA
"7",12928000,48904000,NA,NA,NA,NA,NA,NA
"8",15791000,NA,NA,NA,NA,NA,NA,NA
"9",125000,406000,1443000,2986000,4467000,8179000,12638000,15815000
"10",43000,529000,2016000,3641000,7523000,14295000,18983000,NA
"11",295000,1147000,2479000,5071000,11399000,17707000,NA,NA
"12",50000,786000,3810000,9771000,18518000,NA,NA,NA
"13",213000,833000,3599000,11292000,NA,NA,NA,NA
"14",172000,1587000,6267000,NA,NA,NA,NA,NA
"15",210000,1565000,NA,NA,NA,NA,NA,NA
"16",209000,NA,NA,NA,NA,NA,NA,NA
"17",2772000,4754000,9271000,12242000,12144000,12720000,10254000,7691000
"18",4785000,10178000,14891000,19199000,18688000,17675000,13233000,NA
"19",5160000,10794000,18254000,25857000,30996000,30670000,NA,NA
"20",8682000,17847000,28333000,47425000,42645000,NA,NA,NA
"21",11015000,19134000,46544000,62441000,NA,NA,NA,NA
"22",8534000,31872000,57210000,NA,NA,NA,NA,NA
"23",12718000,47339000,NA,NA,NA,NA,NA,NA
"24",15582000,NA,NA,NA,NA,NA,NA,NA
"25",749,840,1001,1206,1034,765,533,359
"26",660,957,1149,1350,1095,755,539,NA
"27",878,1329,1720,1799,1428,1056,NA,NA
"28",1043,1561,1828,1894,1522,NA,NA,NA
"29",1088,1388,1540,1877,NA,NA,NA,NA
"30",1033,1418,1663,NA,NA,NA,NA,NA
"31",1138,1472,NA,NA,NA,NA,NA,NA
"32",1196,NA,NA,NA,NA,NA,NA,NA
